Student_ID,Study_Hours,Attendance,Assignments,Previous_GPA,Internet_Access,Extra_Class,Parent_Education,Age,Final_Result
S001,6.8,56,87,2.55,Yes,Yes,University,18,Pass
S002,4.8,56,45,2.44,Yes,Yes,University,23,Pass
S003,3.5,55,88,3.61,No,No,College,19,Pass
S004,4.4,77,94,2.69,No,Yes,University,21,Pass
S005,,95,79,3.77,No,Yes,University,18,Pass
S006,1.7,69,95,2.2,No,No,University,24,Fail
S007,3.4,98,81,2.14,Yes,Yes,School,21,Pass
S008,6,98,60,3.69,Yes,Yes,School,24,Pass
S009,9.5,100,60,2.43,No,No,University,21,Pass
S010,5.9,92,67,3.8,No,,School,19,Pass
S011,2,95,50,3.58,No,Yes,College,21,Pass
S012,6,55,83,3.44,No,No,School,20,Pass
S013,8.9,71,72,3.52,Yes,No,University,22,Pass
S014,5.9,88,98,2,No,No,School,18,Pass
S015,3.8,58,55,3.76,Yes,Yes,University,21,Pass
S016,2.1,97,70,3.89,Yes,No,University,24,Pass
S017,7.8,99,52,3.43,No,No,College,22,Pass
S018,,90,54,3.18,Yes,,University,23,Pass
S019,4,87,55,2.56,No,Yes,University,19,Pass
S020,3.2,85,91,2.81,Yes,Yes,University,21,Pass
S021,1.5,96,81,2.2,No,No,School,19,Pass
S022,,84,55,3.75,Yes,No,University,18,Pass
S023,9.7,,50,2.81,No,Yes,College,18,Pass
S024,9.3,84,58,2.85,No,Yes,School,20,Pass
S025,1.5,75,43,2.1,No,Yes,School,22,Fail
S026,7.1,70,65,2.24,Yes,Yes,University,18,Pass
S027,9.4,68,82,3.43,Yes,No,College,19,Pass
S028,7.8,59,40,2.92,Yes,Yes,University,19,Pass
S029,1.6,,63,2.57,No,No,University,24,Fail
S030,3.7,97,46,3.88,Yes,No,School,18,Pass
S031,,76,53,3.37,No,No,College,24,Pass
S032,1.4,76,89,2.26,No,,University,21,Fail
S033,1.7,99,97,2.3,Yes,No,University,22,Pass
S034,9.1,57,97,2.72,Yes,Yes,College,24,Pass
S035,7.7,70,95,2.33,Yes,No,School,19,Pass
S036,8.2,70,57,2.32,Yes,No,School,24,Pass
S037,4.1,69,54,2.05,Yes,No,College,20,Pass
S038,6.8,80,83,3.96,No,Yes,School,20,Pass
S039,2,82,62,3.46,No,No,University,22,Pass
